subset,rule,sessions,unknown,coverage_count,coverage_pct,initial_hit_count,initial_hit_pct,single_request_delayed_count,single_request_delayed_pct,first_hit_after_user_update_count,first_hit_after_user_update_pct,early_le_1_count,early_le_1_pct,late_gt_1_count,late_gt_1_pct,early_le_2_count,early_le_2_pct,late_gt_2_count,late_gt_2_pct,early_le_3_count,early_le_3_pct,late_gt_3_count,late_gt_3_pct,early_le_5_count,early_le_5_pct,late_gt_5_count,late_gt_5_pct
tool_calling,user_turn/ge_16,316094,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tool_calling,assistant_decision/ge_2,316094,0,280097,88.6119318936772,0,0.0,246608,78.0172986516669,33489,10.594633242010287,0,0.0,280097,88.6119318936772,280097,88.6119318936772,0,0.0,280097,88.6119318936772,0,0.0,280097,88.6119318936772,0,0.0
tool_calling,assistant_decision/ge_3,316094,0,195500,61.848690579384616,0,0.0,79349,25.10297569710276,116151,36.74571488228185,0,0.0,195500,61.848690579384616,0,0.0,195500,61.848690579384616,195500,61.848690579384616,0,0.0,195500,61.848690579384616,0,0.0
tool_calling,assistant_decision/ge_4,316094,0,149111,47.172992843900865,0,0.0,31715,10.033407783760527,117396,37.13958506014034,0,0.0,149111,47.172992843900865,0,0.0,149111,47.172992843900865,0,0.0,149111,47.172992843900865,149111,47.172992843900865,0,0.0
tool_calling,assistant_decision/ge_5,316094,0,102809,32.524818566628916,0,0.0,13052,4.129151454946946,89757,28.395667111681966,0,0.0,102809,32.524818566628916,0,0.0,102809,32.524818566628916,0,0.0,102809,32.524818566628916,102809,32.524818566628916,0,0.0
tool_calling,assistant_decision/ge_6,316094,0,56808,17.97186912753801,0,0.0,5722,1.810221010205825,51086,16.161648117332184,0,0.0,56808,17.97186912753801,0,0.0,56808,17.97186912753801,0,0.0,56808,17.97186912753801,0,0.0,56808,17.97186912753801
tool_calling,assistant_decision/ge_8,316094,0,7141,2.2591381044879055,0,0.0,1329,0.4204445513043588,5812,1.8386935531835467,0,0.0,7141,2.2591381044879055,0,0.0,7141,2.2591381044879055,0,0.0,7141,2.2591381044879055,0,0.0,7141,2.2591381044879055
tool_calling,assistant_decision/ge_9,316094,0,3739,1.1828759799300208,0,0.0,599,0.18950059159617075,3140,0.9933753883338501,0,0.0,3739,1.1828759799300208,0,0.0,3739,1.1828759799300208,0,0.0,3739,1.1828759799300208,0,0.0,3739,1.1828759799300208
tool_calling,assistant_decision/ge_10,316094,0,1633,0.5166184742513303,0,0.0,235,0.07434497333071807,1398,0.44227350092061224,0,0.0,1633,0.5166184742513303,0,0.0,1633,0.5166184742513303,0,0.0,1633,0.5166184742513303,0,0.0,1633,0.5166184742513303
tool_calling,assistant_decision/ge_12,316094,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
