threshold,trajectory_count,coverage
>=1,16522,0.8682993483287786
>=2,1434,0.07536262350220728
>=3,467,0.02454277906243431
>=4,188,0.009880176581879336
>=5,77,0.004046668068110154
>=6,22,0.001156190876602901
>=7,5,0.00026277065377338656
>=8,0,0.0
>=9,0,0.0
>=10,0,0.0
