subset,rule,sessions,hits,unknown,evaluable,coverage_pct_all_sessions,coverage_upper_pct_if_unknown_hit,coverage_pct_evaluable,first_hit_decision_median_conditional
interactive_agent,lexical/latest_user/mn,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/latest_user/bb,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/latest_user/mb,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/latest_user/exactly,19028,277,0,19028,1.4557494219045617,1.4557494219045617,1.4557494219045617,2.0
interactive_agent,lexical/user_history/cf,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/user_history/tq,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/user_history/mn,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/user_history/bb,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/user_history/mb,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,lexical/user_history/exactly,19028,277,0,19028,1.4557494219045617,1.4557494219045617,1.4557494219045617,2.0
interactive_agent,user_turn/ge_2,19028,12084,0,19028,63.506411603952074,63.506411603952074,63.506411603952074,2.0
interactive_agent,user_turn/ge_3,19028,6222,0,19028,32.69918015556023,32.69918015556023,32.69918015556023,4.0
interactive_agent,user_turn/ge_4,19028,2365,0,19028,12.429051923481186,12.429051923481186,12.429051923481186,5.0
interactive_agent,user_turn/ge_5,19028,745,0,19028,3.9152827412234603,3.9152827412234603,3.9152827412234603,7.0
interactive_agent,user_turn/ge_6,19028,241,0,19028,1.2665545511877234,1.2665545511877234,1.2665545511877234,8.0
interactive_agent,user_turn/ge_8,19028,18,0,19028,0.09459743535841918,0.09459743535841918,0.09459743535841918,10.0
interactive_agent,user_turn/ge_9,19028,3,0,19028,0.015766239226403196,0.015766239226403196,0.015766239226403196,10.0
interactive_agent,user_turn/ge_10,19028,2,0,19028,0.010510826150935463,0.010510826150935463,0.010510826150935463,11.0
interactive_agent,user_turn/ge_12,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,user_turn/ge_16,19028,0,0,19028,0.0,0.0,0.0,
interactive_agent,assistant_decision/ge_2,19028,17835,0,19028,93.730292200967,93.730292200967,93.730292200967,2.0
interactive_agent,assistant_decision/ge_3,19028,12393,0,19028,65.1303342442716,65.1303342442716,65.1303342442716,3.0
interactive_agent,assistant_decision/ge_4,19028,8409,0,19028,44.192768551608154,44.192768551608154,44.192768551608154,4.0
interactive_agent,assistant_decision/ge_5,19028,5301,0,19028,27.858944713054445,27.858944713054445,27.858944713054445,5.0
interactive_agent,assistant_decision/ge_6,19028,3187,0,19028,16.749001471515662,16.749001471515662,16.749001471515662,6.0
